type_approval,country,source,confidence,evidence,generation,item,ta_pdf,issuer_prefix,issuer_authority,issuer_country,issuer_check,issuer_expected,issuer_table_source,issuer_note,issuer_authority_raw
e1-199-02,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G1,Paper - TPB9000ALK30301M N.A.,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-199-02.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e1-0010-01,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper - Tacho2 N.A.,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-0010-01.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Fiensburg
e1-0011-01,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper - Tacho2B N.A.,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-0011-01.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt = DE-24932 Flensburg PE 2 Genehmigungsnummer: e1*165/2014*2018/502*0011*01 Approval number: 6.a) Pr
e1-84-04,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,VU - DTC1381 JRC_DTLab/A1-119/2018,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-84-04.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt Ai LS DE-24932 Flensburg
e5-0201-04,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,DSRC Module Version 900620A N/A,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e5-0201-04.pdf,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2020-3766 Ert datum/Your date Er beteckning/Your ID 2020-04-28 1221_012-990199 Till: (To:) Stoneridge Electronics AB
e5-0002-05,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,VU - SE5000-8 JRC_DTLab/A2-120/2019,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e5-0002-05.pdf,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2020-7575 Ert datum/Your date Er beteckning/Your ID 2020-09-17 1221_021-990181 Till: (To:) Stoneridge Electronics AB
e1-222-01,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,VU - Efas 4 JRC_DTLab/53-134/2019 v2,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-222-01.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,"Kraftfahrt-Bundesamt a, oy DE-24932 Flensburg"
e5-0002-04,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,VU - SE5000-8 JRC_DTLab/A2-120/2019,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e5-0002-04.pdf,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2020-5190 Ert datum/Your date Er beteckning/Your ID 2020-06-08 1221_019-990181 Till: (To:) Stoneridge Electronics AB
e5-0002-03,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,VU - SE5000-8 JRC_DTLab/A2-120/2019,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e5-0002-03.pdf,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2020-3767 Ert datum/Your date Er beteckning/Your ID 2020-04-28 1221_017-990181 Till: (To:) Stoneridge Electronics AB
e5-0002-02,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,VU - SE5000-8 JRC_DTLab/A2-120/2019,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e5-0002-02.pdf,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2020-2697 Ert datum/Your date Er beteckning/Your ID 2020-03-23 1221_016-990181 01 Till: (To:) Stoneridge Electronics
